,url,titre,first_publication_date,description,prix,type_de_bien,meuble,surface,nb_rooms,DPE,GES,ascenseur,etage,nb_etages,charges,caution,region,departement,ville,zipcode,latitude,longitude,host_name,piscine,nb_bedrooms,parking,quartier,cave,terrasse,Unnamed: 0.53,Unnamed: 0.52,Unnamed: 0.51,Unnamed: 0.50,Unnamed: 0.49,Unnamed: 0.48,Unnamed: 0.47,Unnamed: 0.46,Unnamed: 0.45,Unnamed: 0.44,Unnamed: 0.43,Unnamed: 0.42,Unnamed: 0.41,Unnamed: 0.40,Unnamed: 0.39,Unnamed: 0.38,Unnamed: 0.37,Unnamed: 0.36,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
10,https://www.leboncoin.fr/ad/locations/2708414975,Beau studio meublé centre Strasbourg,2024-05-21 15:31:55,"Particulier loue coquet studio situé au centre-ville au carrefour du centre historique, 3 rue du 22 Novembre, à proximité des facultés et du Tram.
Ce studio de 18m², lumineux et agréable, se situe au 4em étage avec ascenseur. Accès sécurisé avec interphone idéal pour étudiant.
Il est composé:
- d'une salle de bain avec douche, WC .
- d'une pièce principale avec un canapé lit (vrai matelas), un bureau, une bibliothèque et une table basse.
Le coin cuisine est composé d’un frigo, d’une plaque de cuisson, d’un micro-onde.
Libre au 1er juin.
Studio pour étudiant avec caution des parents.",520,Appartement,1,18,1,d,d,Oui,4,5,120,500,Alsace,Bas-Rhin,Strasbourg,67000,48.58294,7.74134,Dominique,Non,,oui,centre,,oui,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.leboncoin.fr/ad/locations/2708333949,Location d un Appartement chaleureux sn’p :locappart67,2024-05-21 14:46:50,"Je vous mets à disposition un chalet Appartement, tout équipé à ne plus jardin terrasse piscine toutes les commandes étaient nécessaires sn’p : locappart67",70,Appartement,1,79,3,a,a,Not Available,Not Available,Not Available,1,1,Alsace,Bas-Rhin,Strasbourg,67000,48.58455,7.7363,tapis 1,Non,,oui,,Non,oui,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://www.leboncoin.fr/ad/locations/2707769313,Loue studio 26 m2,2024-05-21 08:43:17,"Loue studio Strasbourg, route de Schirmeck, libre 01.06.2024, 26 m2, cuisine équipée, balcon, salle de bain avec lavabo, wc et douche à l'italienne, proche de toutes commodités, résidence sécurisée avec gardien, laverie, local à vélo, salle commune. Loyer 365 € + 100 € de charges tout compris. Appartement récent, très prisé, loyer modéré ( Pinel ), le mobilier reste dans le studio, bail uniquement avec garant, idéal étudiant, visite après réception des dossiers complets. Premier contact par mail.",465,Appartement,2,26,1,b,c,Oui,4,4,100,365,Alsace,Bas-Rhin,Strasbourg,67200,48.56852,7.70985,phil,Non,,oui,,,oui,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://www.leboncoin.fr/ad/locations/2707177926,F1 Clemenceau,2024-05-20 19:21:14,"F1 Disponible en location...Proximité de toutes commodités; Autoroute, tram, bus, université, lycée, collège, centre commerciaux, gare, centre ville...",450,Appartement,2,15,1,Not Available,Not Available,Non,6,6,25,425,Alsace,Bas-Rhin,Strasbourg,67000,48.59204,7.75339,Baser,Non,,oui,,,oui,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://www.leboncoin.fr/ad/locations/2708193283,2 pièces meublés et équipés Strasbourg Krutenau,2024-05-21 13:18:36,"Beau 2 pièces entièrement meublés et équipés situé dans une rue calme du quartier de la Krutenau (rue Adolphe Wurtz). Il se compose d'une cuisine séparée équipée, d'un couloir, d'une salle de bain avec baignoire, d'un séjour et d'une chambre séparée.
Chauffage individuel électrique 
Appartement totalement meublés (plaques, frigo, machine à laver, vaisselles, lit, canapé...)
Local vélo, interphone 

Loyer 700 € + 50 € de charges (eau, électricité des communs, entretien des communs…)

Autres photos sur demande 

Disponible à partir du 1 juin",750,Appartement,1,32,2,d,d,Not Available,0,3,50,1400,Alsace,Bas-Rhin,Strasbourg,67000,48.58504,7.73642,lili,Non,,,,,Non,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.leboncoin.fr/ad/locations/2707445253,Particulier loue F2/3 avec terrasse,2024-05-20 22:08:07,"Appartement mansardé situé rue de la Course, à proximité de la gare et de la petite France.
Appartement de 55 m² loi Carrez (99 m² au sol) au 5ème et dernier étage sans ascenseur.

Rénové en mars 2024.

Agencement : 1 pièce de vie ouverte sur la cuisine, 1 chambre fermée, 1 mezzanine (possibilité d'y mettre un second lit), 1 salle de bains, 1 WC séparé, 1 terrasse

Cuisine équipée : four, plaques, hotte, réfrigérateur (pas de lave vaisselle)
SDB : machine à laver
Chauffage : électrique par convection

Conditions de location :

- Disponibilité : immédiate
- Bail d'un an renouvelable
- Loyer et charges : 900 € de loyer + 85 € de provision pour charges (charges de copropriété + eau froide)",985,Appartement,1,55,2,e,b,Non,5,5,85,900,Alsace,Bas-Rhin,Strasbourg,67000,48.58312,7.73701,davidk,Non,,oui,,,oui,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.leboncoin.fr/ad/locations/2708299903,Petit studio équipé et meublé - hypercentre,2024-05-21 14:25:04,"Particulier loue petit studio de 13m², meublé et équipé.

Situé rue des tonneliers, en plein centre-ville, dans un immeuble typique, il est proche de
toutes les commodités. Compter 5-10 min de vélo pour le campus de l'esplanade, 3 min à pied de la station Langstross Grand Rue (tram A) ou 5 min de la place de l’homme de fer (toutes les lignes). Deuxième étage, lumineux, sur cour, au calme.

Bon état général.

Couchage lit une place, placard, petite kitchenette avec deux plaques, frigo, four micro-ondes + grill, évier, table pliable, étagères.

WC + salle de bain avec douche.

Personne calme et sérieuse uniquement. Caution solidaire appréciée, dépôt de garantie deux mois de loyer.

Bail meublé d'un an renouvelable, loyer 420 € + 40€ de charges. 

Electricité et TH à la charge du locataire.

Si vous avez des questions, n'hésitez pas !

Visites le 22 ou 25/05, libre de suite.",460,Appartement,1,13,1,e,e,Non,2,4,Not Available,Not Available,Alsace,Bas-Rhin,Strasbourg,67000,48.58024,7.74906,clg,Non,,,,,,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://www.leboncoin.fr/ad/locations/2708953964,Joli F2 meublé dans quartier Robertsau,2024-05-21 20:37:02,"Joli F2 meublé pour 1 ou 2 personnes (idéal salarié(-ée) hors période d'essai, étudiant(-e) avec garants…), comprenant un beau balcon, cave et garage. 40 m2, très bon état, dans jolie résidence de 3 étages sans ascenseur, comprenant : 1 cuisine, 1 chambre, 1 salon donnant sur le grand balcon, 1 salle de bains avec baignoire.
Equipements supplémentaires inclus : TV écran plat, lave-linge, lecteur DVD, canapé, armoires/penderie, parasol, table et chaises neuves sur le balcon, vélo, frigo et congélateur, plaques cuisson vitrocéramique, micro-ondes faisant également four. La totalité des radiateurs électriques fut changée récemment (chauffage individuel).
Lieu : rue de la Largue à Strasbourg (Robertsau) à env 15 mn du centre-ville. Commerces, parc et transports en commun à proximité (ex : bus n°6 au bout de la rue – tram B etc.). Lieu calme.
Pas d’intermédiaire (agence immobilière ou autre).
Libre depuis peu.
Recherchons personne sérieuse, solvable, et calme. Merci.
Classe énergie : F (logement à consommation énergétique excessive). Montant estimé des dépenses annuelles d’énergie pour un usage standard : 688 € (abonnement compris). DPE non encore refait suite au changement des radiateurs. Prix moyen des énergies indexé sur l’année 2011.
Zone soumise à encadrement des loyers. Loyer de base : 667€. Loyer de référence majoré (loyer de base à ne pas dépasser) : 667€.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr",725,Appartement,1,40,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,667,Alsace,Bas-Rhin,Strasbourg,67000,48.61298,7.7771,Cendyrock,Non,1.0,,,,,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://www.leboncoin.fr/ad/locations/2708797742,Lumière sur St Marc,2024-05-21 19:13:15,"Loue F1Gd Studio lumineux  
Quartier Finkwiller t animé, ds petit immeuble b renové , sur rue PIÉTONNE, à 2 pas Scieces Po, Médecine, Gare,,sécurisé: couloir fermé, vélos 
Chauffage électrique : radiateurs neufs à inertie,double vitrage, murs épais
Convient étudiant (e), travailleu, r, se serieux
CV detaillé souhaité",630,Appartement,2,35,1,d,d,Not Available,2,3,50,630,Alsace,Bas-Rhin,Strasbourg,67000,48.58504,7.73642,ChristianeBechmann,Non,,oui,Finkwill,,oui,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://www.leboncoin.fr/ad/locations/2709223016,Studio meublé Eckbolsheim,2024-05-22 08:27:18,"Studio a Eckbolsheim centre, refait à a neuf et meublé.
Au 1er étage sur 2 dans une petite maison.
Logement très lumineux composé d'une pièce de vie avec coin cuisine, d'une salle de bain avec douche WC et lavabo. 
Ballon d'eau chaude individuel
Radiateur électrique",520,Appartement,1,19,1,e,e,Not Available,1,2,20,500,Alsace,Bas-Rhin,Eckbolsheim,67201,48.57662,7.68777,adam,Non,,oui,,,oui,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
