,url,id,titre,first_publication_date,prix,type,meuble,surface,nb_rooms,DPE,GES,ascenseur,numero_etage,nb_etages,charges,caution,region,departement,ville,zipcode,latitude,longitude,host_name,piscine,nb_bedrooms,parking,quartier,cave,terrasse
21,https://www.leboncoin.fr/ad/locations/2750158724,2750158724,studio meublé,2024-06-20 11:27:23,590,appartement,oui,25.0,1.0,d,d,oui,,,90.0,500.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,laurent,Non,,,,,
22,https://www.leboncoin.fr/ad/locations/2737637165,2737637165,studio 1 pièce 29 m²,2024-06-10 15:01:00,400,appartement,,29.0,1.0,e,b,,,,,360.0,alsace,bas-rhin,strasbourg,67100,48.5453,7.76645,immobiliere tradition alsace,Non,,Non,,Non,Non
23,https://www.leboncoin.fr/ad/locations/2728972690,2728972690,studio broglie,2024-06-03 19:51:32,600,appartement,non,20.0,1.0,d,d,non,2.0,4.0,50.0,550.0,alsace,bas-rhin,strasbourg,67000,48.58529,7.75038,schneidi,Non,,oui,place Broglie,Non,oui
24,https://www.leboncoin.fr/ad/locations/2750214279,2750214279,appartement f3 en plein coeur centre ville de strasbourg,2024-06-20 12:10:15,1000,appartement,oui,51.0,3.0,a,c,non,2.0,3.0,70.0,,alsace,bas-rhin,strasbourg,67000,48.58214,7.75457,la fabrick transaction,Non,,oui,coeur de Strasbourg,,oui
25,https://www.leboncoin.fr/ad/locations/2746830164,2746830164,loue studio quartier des facs,2024-06-17 16:02:42,580,appartement,oui,30.0,1.0,b,b,non,2.0,5.0,120.0,500.0,alsace,bas-rhin,strasbourg,67000,48.58502,7.77463,martine simon,Non,,,,,oui
26,https://www.leboncoin.fr/ad/locations/2750162259,2750162259,chambre meublée,2024-06-20 11:29:45,450,appartement,oui,18.0,2.0,e,e,oui,6.0,6.0,,450.0,alsace,bas-rhin,strasbourg,67000,48.59042,7.76645,martin,Non,,,,,oui
27,https://www.leboncoin.fr/ad/locations/2742041593,2742041593,studio 1 pièce 23 m²,2024-06-13 11:22:00,463,appartement,non,23.0,1.0,d,b,,0.0,,,388.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,sogestra,Non,,oui,,,oui
28,https://www.leboncoin.fr/ad/locations/2743512807,2743512807,appartement 3 pièces 64 m²,2024-06-15 09:14:00,940,appartement,non,64.0,3.0,d,b,non,0.0,4.0,,850.0,alsace,bas-rhin,strasbourg,67200,48.58825,7.71004,foncia abfc - 65u,Non,,,Cronenbourg,Non,Non
29,https://www.leboncoin.fr/ad/locations/2721872354,2721872354,studio 1 pièce 28 m²,2024-05-30 10:54:00,615,appartement,non,28.0,1.0,d,d,oui,4.0,,,455.0,alsace,bas-rhin,strasbourg,67100,48.5453,7.76645,foncia abfc - 905 strasbourg danube,Non,,,,,oui
30,https://www.leboncoin.fr/ad/locations/2750085905,2750085905,f2 avec jardin,2024-06-20 10:30:45,660,appartement,non,41.0,2.0,a,c,oui,0.0,4.0,110.0,550.0,alsace,bas-rhin,strasbourg,67200,48.58593,7.69917,blefebve,Non,,oui,,,oui
31,https://www.leboncoin.fr/ad/locations/2357433628,2357433628,appartement 3 pièces 81 m²,2023-05-31 12:51:00,1200,appartement,non,81.0,3.0,d,d,oui,2.0,,,1100.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,metzger immobilier,Non,,oui,,,oui
32,https://www.leboncoin.fr/ad/locations/2698528640,2698528640,triplex 3 pièces 71 m²,2024-05-15 17:31:00,1400,appartement,oui,71.0,3.0,f,b,non,3.0,3.0,,2680.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,immium,Non,,oui,Petite France,oui,
33,https://www.leboncoin.fr/ad/locations/2739980377,2739980377,appartement 3 pièces 65 m²,2024-06-12 07:09:00,819,appartement,non,65.0,3.0,c,c,oui,3.0,,,711.0,alsace,bas-rhin,strasbourg,67200,48.58825,7.71004,cdc habitat,Non,2.0,Non,,,oui
34,https://www.leboncoin.fr/ad/locations/2711805850,2711805850,studio 1 pièce 24 m²,2024-05-23 14:36:00,810,appartement,oui,24.0,1.0,b,b,,7.0,,,1460.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,colocatim,Non,,oui,,,oui
35,https://www.leboncoin.fr/ad/locations/2732955394,2732955394,appartement 3 pièces 59 m²,2024-06-06 20:04:00,805,appartement,non,59.0,3.0,d,e,,0.0,,,685.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,cg immobilier,Non,,,Krutenau,,
36,https://www.leboncoin.fr/ad/locations/2682409830,2682409830,studio 1 pièce 22 m²,2024-05-05 12:22:00,520,appartement,non,22.0,1.0,e,e,,,,,450.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,immium,Non,,oui,,,oui
37,https://www.leboncoin.fr/ad/locations/2737965080,2737965080,appartement 2 pièces 51 m²,2024-06-10 12:19:00,700,appartement,non,51.0,2.0,d,b,oui,4.0,5.0,,,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,t.gm gestion et management,Non,,oui,,,oui
38,https://www.leboncoin.fr/ad/locations/2627309113,2627309113,appartement 2 pièces 53 m²,2024-04-04 14:05:00,870,appartement,non,53.0,2.0,f,f,,,,,,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,immium,Non,1.0,Non,QUARTIER DES QUI...,,Non
39,https://www.leboncoin.fr/ad/locations/2686610952,2686610952,appartement 2 pièces 44 m²,2024-05-07 13:17:00,675,appartement,non,44.0,2.0,,,oui,,,,590.0,alsace,bas-rhin,eckbolsheim,67201,48.58021,7.68689,afedim gestion location neuf,Non,,oui,,,oui
40,https://www.leboncoin.fr/ad/locations/2685741948,2685741948,appartement 3 pièces 63 m²,2024-05-07 10:34:00,1000,appartement,non,63.0,3.0,e,e,,2.0,5.0,,850.0,alsace,bas-rhin,strasbourg,67000,48.58504,7.73642,est immo conseil &patrimoine,Non,,oui,Musée d'Art Moderne,,Non
41,https://www.leboncoin.fr/ad/locations/2750214279,2750214279,appartement f3 en plein coeur centre ville de strasbourg,2024-06-20 12:10:15,1000,appartement,oui,51.0,3.0,a,c,non,2.0,3.0,70.0,,alsace,bas-rhin,strasbourg,67000,48.58214,7.75457,la fabrick transaction,Non,,oui,coeur de Strasbourg,,oui
