,type,meublé,host_name,price,city,zipcode,neighbourhood,nb_rooms,nb_bedrooms,surface,numero_etage,description,balcon,terrasse,jardin,cave,parking,garage,box,ascenseur,interphone,gardien,salle de bain (Baignoire),salle d'eau (douche),Diagnostic de performance énergétique (DPE),Indice d'émission de gaz à effet de serre (GES),loyer_charges_comprises,charges_forfaitaires,depot_garantie,piscine,type_de_bien,quartier,meuble,nombre_etages
0,Appartement,0,Not Available,1470.0,Paris,75007,Quartier Gros Caillou,2,1,39.0,1/0,"Dans le très agréable quartier de la rue Saint-Dominique, à proximité des commerces et des transports, dans un immeuble ancien de la rue Malar et très proche du Champs de Mars
Métro Invalides ou Métro La Tour Maubourg - Dans un immeuble ancien au 1er étage sans ascenseur - Beau 2 Pièces entièrement rénové comprenant un salon, une cuisine indépendante aménagée, une Salle d'Eau avec WC. Disponible dès maintenant Mentions complémentaires : dont charges récupérables 104e / zone soumise à encadrement des loyers / loyer de réf. majoré 1355,52e HC / DG 1366,11e / Hono Alur 466,07e TTC + EDLE 116,51e TTCDemander plus d'informations à l'agence",0,0,0,0,0,0,0,0,0,0,0,1,Not Available,Not Available,1470.0,104.0,1366.0,Non,appartement,,,
1,Appartement,0,Not Available,1470.0,Paris,75007,Quartier Gros Caillou,2,1,39.0,1/0,"Dans le très agréable quartier de la rue Saint-Dominique, à proximité des commerces et des transports, dans un immeuble ancien de la rue Malar et très proche du Champs de Mars
Métro Invalides ou Métro La Tour Maubourg - Dans un immeuble ancien au 1er étage sans ascenseur - Beau 2 Pièces entièrement rénové comprenant un salon, une cuisine indépendante aménagée, une Salle d'Eau avec WC. Disponible dès maintenant Mentions complémentaires : dont charges récupérables 104e / zone soumise à encadrement des loyers / loyer de réf. majoré 1355,52e HC / DG 1366,11e / Hono Alur 466,07e TTC + EDLE 116,51e TTCDemander plus d'informations à l'agence",0,0,0,0,0,0,0,0,0,0,0,1,Not Available,Not Available,1470.0,104.0,1366.0,Non,,rue Saint,,
